nth vaddr       bind type lib          name
17  0x180008080 NONE FUNC KERNEL32.dll FlsSetValue
18  0x180008088 NONE FUNC KERNEL32.dll GetCommandLineA
19  0x180008090 NONE FUNC KERNEL32.dll EncodePointer
20  0x180008098 NONE FUNC KERNEL32.dll DecodePointer
21  0x1800080a0 NONE FUNC KERNEL32.dll FlsGetValue
22  0x1800080a8 NONE FUNC KERNEL32.dll FlsFree
23  0x1800080b0 NONE FUNC KERNEL32.dll SetLastError
24  0x1800080b8 NONE FUNC KERNEL32.dll GetLastError
25  0x1800080c0 NONE FUNC KERNEL32.dll FlsAlloc
26  0x1800080c8 NONE FUNC KERNEL32.dll HeapFree
27  0x1800080d0 NONE FUNC KERNEL32.dll Sleep
28  0x1800080d8 NONE FUNC KERNEL32.dll GetModuleHandleW
29  0x1800080e0 NONE FUNC KERNEL32.dll GetProcAddress
30  0x1800080e8 NONE FUNC KERNEL32.dll ExitProcess
31  0x1800080f0 NONE FUNC KERNEL32.dll SetHandleCount
32  0x1800080f8 NONE FUNC KERNEL32.dll GetStdHandle
33  0x180008100 NONE FUNC KERNEL32.dll GetFileType
34  0x180008108 NONE FUNC KERNEL32.dll GetStartupInfoA
35  0x180008110 NONE FUNC KERNEL32.dll DeleteCriticalSection
36  0x180008118 NONE FUNC KERNEL32.dll GetModuleFileNameA
37  0x180008120 NONE FUNC KERNEL32.dll FreeEnvironmentStringsA
38  0x180008128 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
39  0x180008130 NONE FUNC KERNEL32.dll WideCharToMultiByte
40  0x180008138 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
41  0x180008140 NONE FUNC KERNEL32.dll HeapSetInformation
42  0x180008148 NONE FUNC KERNEL32.dll HeapCreate
43  0x180008150 NONE FUNC KERNEL32.dll HeapDestroy
44  0x180008158 NONE FUNC KERNEL32.dll RtlUnwindEx
45  0x180008160 NONE FUNC KERNEL32.dll QueryPerformanceCounter
46  0x180008168 NONE FUNC KERNEL32.dll GetTickCount
47  0x180008170 NONE FUNC KERNEL32.dll GetCurrentProcessId
48  0x180008178 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
49  0x180008180 NONE FUNC KERNEL32.dll LeaveCriticalSection
50  0x180008188 NONE FUNC KERNEL32.dll EnterCriticalSection
51  0x180008190 NONE FUNC KERNEL32.dll GetCPInfo
52  0x180008198 NONE FUNC KERNEL32.dll GetACP
53  0x1800081a0 NONE FUNC KERNEL32.dll GetOEMCP
54  0x1800081a8 NONE FUNC KERNEL32.dll IsValidCodePage
55  0x1800081b0 NONE FUNC KERNEL32.dll HeapAlloc
56  0x1800081b8 NONE FUNC KERNEL32.dll HeapReAlloc
57  0x1800081c0 NONE FUNC KERNEL32.dll WriteFile
58  0x1800081c8 NONE FUNC KERNEL32.dll TerminateProcess
59  0x1800081d0 NONE FUNC KERNEL32.dll GetCurrentProcess
60  0x1800081d8 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
61  0x1800081e0 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
287 0x1800081f0 NONE FUNC OLEAUT32.dll VARIANT_UserMarshal
288 0x1800081f8 NONE FUNC OLEAUT32.dll VARIANT_UserUnmarshal
289 0x180008200 NONE FUNC OLEAUT32.dll VARIANT_UserFree
290 0x180008208 NONE FUNC OLEAUT32.dll LPSAFEARRAY_UserSize
