=== libciper.so exported/defined symbols (crypto primitives) ===
533 0x0000b000 0x0000c000 GLOBAL NOTYPE 0        __data_start
534 0x000085ec 0x000085ec GLOBAL FUNC   52       elapsed_ms_timer
537 0x00007a5c 0x00007a5c GLOBAL FUNC   176      RunShellCommand
538 0x00005748 0x00005748 GLOBAL FUNC   16       getMaxTerminalPropertyRecordEntries
540 0x00003a00 0x00003a00 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetMaxPublicVariableRecordEntries
541 0x00003b14 0x00003b14 GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniBuildMessageFromPatternReplyRecord
542 0x00006dbc 0x00006dbc GLOBAL FUNC   532      masterslavesendFileBlockRecv2
546 0x00003f90 0x00003f90 GLOBAL FUNC   444      Java_com_honeywell_comm_JNIRequest_jniReadSylkFileData
547 0x00003954 0x00003954 GLOBAL FUNC   38       Java_com_honeywell_comm_JNIRequest_jniNextTpidValue
548 ---------- 0x0000c054 GLOBAL OBJ    4        nenv
549 0x00005a0c 0x00005a0c GLOBAL FUNC   92       receiveNextTerminalProperty
551 0x00005bd4 0x00005bd4 GLOBAL FUNC   300      endBuildLinearRecord
