=== libciper.so exported/defined symbols (crypto primitives) ===
124 ---------- 0x0000c034 GLOBAL NOTYPE 0        __bss_start
125 0x000038b4 0x000038b4 GLOBAL FUNC   32       Java_com_honeywell_comm_JNIRequest_jniBeginBuildTerminalPropertyRecord
126 0x0000b008 0x0000c008 GLOBAL OBJ    4        filereadstatus
127 0x000036bc 0x000036bc GLOBAL FUNC   96       Java_com_honeywell_comm_JNIRequest_init
128 0x00007cb4 0x00007cb4 GLOBAL FUNC   636      ReadFromFile
129 0x00005da0 0x00005da0 GLOBAL FUNC   112      beginBuildPublicVariableRecord
130 0x00005e10 0x00005e10 GLOBAL FUNC   136      buildAddPublicVariableToRecord
131 0x00005a0c 0x00005a0c GLOBAL FUNC   92       receiveNextTerminalProperty
132 ---------- 0x0000c034 GLOBAL NOTYPE 0        __bss_start__
133 0x00003640 0x00003640 GLOBAL FUNC   36       isJNIRequestReady
134 0x00003b50 0x00003b50 GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniPatternNextCh
135 0x000064ec 0x000064ec GLOBAL FUNC   40       initCommRequest
136 0x00003b38 0x00003b38 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniPatternHasNext
137 0x00003a98 0x00003a98 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniNextPvid
138 0x000085ec 0x000085ec GLOBAL FUNC   52       elapsed_ms_timer
139 0x00005748 0x00005748 GLOBAL FUNC   16       getMaxTerminalPropertyRecordEntries
140 0x00003af0 0x00003af0 GLOBAL FUNC   34       Java_com_honeywell_comm_JNIRequest_jniAddPatternReplyCharToRecord
141 ---------- 0x0000c060 GLOBAL OBJ    4        receiveErrorCount
142 0x000048fc 0x000048fc GLOBAL FUNC   1768     requestOneMessage
143 0x000033e8 0x000033e8 GLOBAL FUNC   172      debugTerminalProperty
144 0x0000591c 0x0000591c GLOBAL FUNC   156      handleTerminalPropertyMessage
145 0x00005808 0x00005808 GLOBAL FUNC   136      buildAddTerminalPropertyToRecord
146 0x00007004 0x00007004 GLOBAL FUNC   788      masterslaveReadSylkFileData
147 0x00008770 0x00008770 GLOBAL FUNC   66       compareMessageId
148 0x000038f8 0x000038f8 GLOBAL FUNC   34       Java_com_honeywell_comm_JNIRequest_jniEndBuildTerminalPropertyRecord
149 ---------- 0x0000d7f0 GLOBAL OBJ    40       gbl_tty
150 0x00006570 0x00006570 GLOBAL FUNC   52       lockMutexSerial
151 0x00005bd4 0x00005bd4 GLOBAL FUNC   300      endBuildLinearRecord
152 0x00008848 0x00008848 GLOBAL FUNC   164      receiveSerialSync
153 0x00006140 0x00006140 GLOBAL FUNC   76       addPatternReplyCharToRecord
154 0x00003b14 0x00003b14 GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniBuildMessageFromPatternReplyRecord
155 0x00008a58 0x00008a58 GLOBAL FUNC   60       dataToRecord
156 0x00003ad0 0x00003ad0 GLOBAL FUNC   32       Java_com_honeywell_comm_JNIRequest_jniBuildPatternReplyRecord
157 0x0000845c 0x0000845c GLOBAL FUNC   108      crc_ccitt_add
158 0x00003664 0x00003664 GLOBAL FUNC   88       Java_com_honeywell_comm_JNIRequest_jniSetLibraryDebugLevel
159 0x00008104 0x00008104 GLOBAL FUNC   428      masterslavefilestatus
160 0x00005380 0x00005380 GLOBAL FUNC   968      handleFileDataMessage
161 0x00007f30 0x00007f30 GLOBAL FUNC   468      masterslavefileopenv2
162 0x000065d8 0x000065d8 GLOBAL FUNC   120      open_port
163 ---------- 0x0000d818 GLOBAL NOTYPE 0        _end
164 0x00005890 0x00005890 GLOBAL FUNC   140      endBuildTerminalPropertyRecord
165 ---------- 0x0000d818 GLOBAL NOTYPE 0        __end__
166 0x00008574 0x00008574 GLOBAL FUNC   28       start_timer
167 0x00003738 0x00003738 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetReceivedIOCommandStatus
168 ---------- 0x0000d818 GLOBAL NOTYPE 0        _bss_end__
169 0x000087b4 0x000087b4 GLOBAL FUNC   148      sendMessageNoAck
170 0x0000371c 0x0000371c GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniGetReceivedIOCommand
171 0x00006fd0 0x00006fd0 GLOBAL FUNC   52       SetReadResponse
172 ---------- 0x0000c034 GLOBAL NOTYPE 0        _edata
