nth vaddr       bind type lib                               name
21  0x180019198 NONE FUNC MSVCP140.dll                      ?xsputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAA_JPEBD_J@Z
22  0x1800191a0 NONE FUNC MSVCP140.dll                      ?_Xbad_alloc@std@@YAXXZ
23  0x1800191a8 NONE FUNC MSVCP140.dll                      ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z
24  0x1800191b0 NONE FUNC MSVCP140.dll                      ??1?$basic_istream@DU?$char_traits@D@std@@@std@@UEAA@XZ
25  0x1800191b8 NONE FUNC MSVCP140.dll                      ??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@AEAF@Z
26  0x1800191c0 NONE FUNC MSVCP140.dll                      ??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@AEAG@Z
27  0x1800191c8 NONE FUNC MSVCP140.dll                      ??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@AEAJ@Z
28  0x1800191d0 NONE FUNC MSVCP140.dll                      ??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@AEAK@Z
29  0x1800191d8 NONE FUNC MSVCP140.dll                      ??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@AEAM@Z
30  0x1800191e0 NONE FUNC MSVCP140.dll                      ??5?$basic_istream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@AEAN@Z
31  0x1800191e8 NONE FUNC MSVCP140.dll                      ?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAAHD@Z
32  0x1800191f0 NONE FUNC MSVCP140.dll                      ?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QEAA_JPEBD_J@Z
33  0x1800191f8 NONE FUNC MSVCP140.dll                      ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@XZ
34  0x180019200 NONE FUNC MSVCP140.dll                      ??1?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@UEAA@XZ
35  0x180019208 NONE FUNC MSVCP140.dll                      ?_Pninc@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAAPEA_WXZ
36  0x180019210 NONE FUNC MSVCP140.dll                      ?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QEAAXH_N@Z
37  0x180019218 NONE FUNC MSVCP140.dll                      ??1?$basic_ios@_WU?$char_traits@_W@std@@@std@@UEAA@XZ
38  0x180019220 NONE FUNC MSVCP140.dll                      ??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@IEAA@XZ
39  0x180019228 NONE FUNC MSVCP140.dll                      ?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAXXZ
40  0x180019230 NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@P6AAEAVios_base@1@AEAV21@@Z@Z
41  0x180019238 NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV01@J@Z
42  0x180019240 NONE FUNC MSVCP140.dll                      ?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QEAAAEAV12@XZ
43  0x180019248 NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@_WU?$char_traits@_W@std@@@std@@QEAAAEAV01@P6AAEAVios_base@1@AEAV21@@Z@Z
44  0x180019250 NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@_WU?$char_traits@_W@std@@@std@@QEAAAEAV01@J@Z
45  0x180019258 NONE FUNC MSVCP140.dll                      ??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z
46  0x180019260 NONE FUNC MSVCP140.dll                      ??1?$basic_iostream@DU?$char_traits@D@std@@@std@@UEAA@XZ
47  0x180019268 NONE FUNC MSVCP140.dll                      ??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z
48  0x180019270 NONE FUNC MSVCP140.dll                      ??1?$basic_iostream@_WU?$char_traits@_W@std@@@std@@UEAA@XZ
49  0x180019278 NONE FUNC MSVCP140.dll                      ?_Lock@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@UEAAXXZ
50  0x180019280 NONE FUNC MSVCP140.dll                      ?_Unlock@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@UEAAXXZ
51  0x180019288 NONE FUNC MSVCP140.dll                      ?imbue@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAAXAEBVlocale@2@@Z
52  0x180019290 NONE FUNC MSVCP140.dll                      ?setbuf@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAAPEAV12@PEA_W_J@Z
53  0x180019298 NONE FUNC MSVCP140.dll                      ?showmanyc@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAA_JXZ
54  0x1800192a0 NONE FUNC MSVCP140.dll                      ?sync@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAAHXZ
55  0x1800192a8 NONE FUNC MSVCP140.dll                      ?uflow@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAAGXZ
56  0x1800192b0 NONE FUNC MSVCP140.dll                      ?_Osfx@?$basic_ostream@_WU?$char_traits@_W@std@@@std@@QEAAXXZ
57  0x1800192b8 NONE FUNC MSVCP140.dll                      ?xsputn@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAA_JPEB_W_J@Z
58  0x1800192c0 NONE FUNC MSVCP140.dll                      ?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A
59  0x1800192c8 NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@_WU?$char_traits@_W@std@@@std@@QEAAAEAV01@P6AAEAV01@AEAV01@@Z@Z
60  0x1800192d0 NONE FUNC MSVCP140.dll                      ?uncaught_exception@std@@YA_NXZ
61  0x1800192d8 NONE FUNC MSVCP140.dll                      ?sputc@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@QEAAG_W@Z
62  0x1800192e0 NONE FUNC MSVCP140.dll                      ?sputn@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@QEAA_JPEB_W_J@Z
63  0x1800192e8 NONE FUNC MSVCP140.dll                      ?setstate@?$basic_ios@_WU?$char_traits@_W@std@@@std@@QEAAXH_N@Z
64  0x1800192f0 NONE FUNC MSVCP140.dll                      ?widen@?$basic_ios@_WU?$char_traits@_W@std@@@std@@QEBA_WD@Z
65  0x1800192f8 NONE FUNC MSVCP140.dll                      ?xsgetn@?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@MEAA_JPEA_W_J@Z
1   0x1800193d8 NONE FUNC VCRUNTIME140_1.dll                __CxxFrameHandler4
1   0x180019360 NONE FUNC VCRUNTIME140.dll                  __C_specific_handler_noexcept
2   0x180019368 NONE FUNC VCRUNTIME140.dll                  __vcrt_GetModuleFileNameW
3   0x180019370 NONE FUNC VCRUNTIME140.dll                  __vcrt_LoadLibraryExW
4   0x180019378 NONE FUNC VCRUNTIME140.dll                  __std_type_info_destroy_list
5   0x180019380 NONE FUNC VCRUNTIME140.dll                  __std_exception_copy
6   0x180019388 NONE FUNC VCRUNTIME140.dll                  wcschr
7   0x180019390 NONE FUNC VCRUNTIME140.dll                  _local_unwind
8   0x180019398 NONE FUNC VCRUNTIME140.dll                  memmove
9   0x1800193a0 NONE FUNC VCRUNTIME140.dll                  memcpy
10  0x1800193a8 NONE FUNC VCRUNTIME140.dll                  _CxxThrowException
11  0x1800193b0 NONE FUNC VCRUNTIME140.dll                  __std_exception_destroy
12  0x1800193b8 NONE FUNC VCRUNTIME140.dll                  __std_terminate
13  0x1800193c0 NONE FUNC VCRUNTIME140.dll                  memset
14  0x1800193c8 NONE FUNC VCRUNTIME140.dll                  __C_specific_handler
1   0x1800193f8 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _callnewh
2   0x180019400 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    malloc
3   0x180019408 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    free
1   0x180019418 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm
2   0x180019420 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm_e
3   0x180019428 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _cexit
4   0x180019430 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _crt_atexit
5   0x180019438 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _execute_onexit_table
6   0x180019440 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_onexit_function
7   0x180019448 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_onexit_table
8   0x180019450 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_narrow_environment
9   0x180019458 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _configure_narrow_argv
10  0x180019460 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _seh_filter_dll
11  0x180019468 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _invalid_parameter_noinfo_noreturn
1   0x180019478 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsprintf_s
2   0x180019480 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsnprintf_s
1   0x180019490 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strcat_s
2   0x180019498 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strcpy_s
3   0x1800194a0 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  wcstok_s
4   0x1800194a8 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  wcsncpy_s
5   0x1800194b0 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strncpy_s
6   0x1800194b8 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strlen
1   0x1800193e8 NONE FUNC api-ms-win-crt-convert-l1-1-0.dll atof
